ade;status;serviço;Loja;tipo_x;valor_x;situacao_x;tipo_y;valor_y;situacao_y;seguro;status_aguardandoRetornoDaSeguradora;Numero loja
82861603;Crédito Enviado;Saque Complementar;37400;Conta Corrente;R$ 240,73;Emitida -;;;;;;
82872053;Crédito Enviado;Saque Complementar;37400;Conta Corrente;R$ 139,61;Emitida -;;;;;;
82878401;Crédito Enviado;Saque Complementar;37400;Conta Corrente;R$ 117,69;Emitida -;;;;;;
82879173;Crédito Enviado;Saque Complementar;37400;Conta Corrente;R$ 108,52;Emitida -;;;;;;
82880334;Crédito Enviado;Saque Complementar;37400;Conta Corrente;R$ 594,18;Emitida -;;;;;;
82880412;Crédito Enviado;Saque Complementar;37400;Conta Corrente;R$ 340,15;Emitida -;;;;;;
82571791;Cancelada;Saque Complementar;37400;DOC E;R$ 1.048,00;Cancelada -;;;;;;
82649603;Cancelada;Saque Complementar;37400;DOC E;R$ 517,94;Cancelada -;;;;;;
82697601;Cancelada;Saque Complementar;37400;DOC E;R$ 167,80;Cancelada -;;;;;;
82827334;Cancelada;Saque Complementar;37400;DOC E;R$ 986,26;Cancelada -;;;;;;
82829156;Cancelada;Saque Complementar;37400;DOC E;R$ 217,88;Cancelada -;;;;;;
82849589;Cancelada;Saque Complementar;37400;DOC E;R$ 116,59;Cancelada -;;;;;;
82855849;Cancelada;Saque Complementar;37400;DOC E;R$ 129,71;Cancelada -;;;;;;
82856368;Cancelada;Saque Complementar;37400;DOC E;R$ 172,44;Cancelada -;;;;;;
82856519;Cancelada;Saque Complementar;37400;DOC E;R$ 274,49;Cancelada -;;;;;;
82857091;Cancelada;Saque Complementar;37400;DOC E;R$ 154,28;Cancelada -;;;;;;
82869759;Cancelada;Saque Complementar;37400;DOC E;R$ 181,39;Cancelada -;;;;;;
82870123;Cancelada;Saque Complementar;37400;DOC E;R$ 235,82;Cancelada -;;;;;;
82110268;Crédito Enviado;Cartão BMG Master;37400;DOC E;R$ 3.334,10;Emitida -;;;;;;
82465459;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 3.022,93;Emitida -;;;;;;
82466764;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 259,18;Emitida -;;;;;;
82467086;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 212,30;Emitida -;;;;;;
